
 line no. 1   He I  4471.500    table no. 1  ne = 1.0E+13   nwl= 47

     20.00  8.43E-05  8.30E-05  7.77E-05  7.00E-05                              
     25.00  5.36E-05  5.27E-05  4.92E-05  4.41E-05                              
     30.00  3.82E-05  3.72E-05  3.44E-05  3.07E-05                              
     35.00  3.06E-05  2.90E-05  2.64E-05  2.33E-05                              
     40.00  2.67E-05  2.44E-05  2.17E-05  1.88E-05                              
     45.00  4.23E-05  4.79E-05  3.87E-05  3.88E-05                              
     45.20  5.90E-05  6.59E-05  7.60E-05  1.02E-05                              
     45.40  2.08E-04  2.73E-04  3.31E-04  3.63E-04                              
     45.60  6.80E-04  6.49E-04  6.11E-04  5.58E-04                              
     45.80  3.38E-04  3.44E-04  3.55E-04  3.72E-04                              
     46.00  2.22E-04  2.23E-04  2.24E-04  2.29E-04                              
     46.50  1.32E-04  1.31E-04  1.29E-04  1.27E-04                              
     47.00  9.63E-05  9.16E-05  8.58E-05  8.07E-05                              
     50.00  4.95E-05  4.73E-05  4.51E-05  4.30E-05                              
     55.00  2.94E-05  2.80E-05  2.65E-05  2.49E-05                              
     60.00  1.82E-05  1.80E-05  1.74E-05  1.67E-05                              

 line no. 1   He I  4471.500    table no. 6  ne = 3.0E+15   nwl= 73

    -80.00  1.18E-05  1.27E-05  1.30E-05  1.29E-05                              
    -70.00  1.65E-05  1.75E-05  1.79E-05  1.76E-05                              
    -60.00  2.41E-05  2.55E-05  2.58E-05  2.53E-05                              
    -50.00  3.79E-05  3.97E-05  3.99E-05  3.88E-05                              
    -45.00  4.92E-05  5.11E-05  5.11E-05  4.96E-05                              
    -40.00  6.57E-05  6.78E-05  6.75E-05  6.52E-05                              
    -35.00  9.12E-05  9.35E-05  9.26E-05  8.91E-05                              
    -30.00  1.33E-04  1.35E-04  1.33E-04  1.28E-04                              
    -25.00  2.07E-04  2.09E-04  2.04E-04  1.95E-04                              
    -20.00  3.56E-04  3.56E-04  3.46E-04  3.29E-04                              
    -18.00  4.60E-04  4.58E-04  4.44E-04  4.22E-04                              
    -16.00  6.12E-04  6.08E-04  5.87E-04  5.57E-04                              
    -14.00  8.47E-04  8.38E-04  8.07E-04  7.64E-04                              
    -12.00  1.23E-03  1.21E-03  1.16E-03  1.10E-03                              
    -10.00  1.93E-03  1.89E-03  1.82E-03  1.72E-03                              
     -8.00  3.57E-03  3.46E-03  3.20E-03  2.90E-03                              
     -6.00  7.06E-03  6.84E-03  6.54E-03  6.05E-03                              
     -5.00 10.73E-03 10.62E-03 10.27E-03  9.65E-03                              
     -4.00  1.90E-02  1.93E-02  1.91E-02  1.84E-02                              
     -3.50  2.73E-02  2.79E-02  2.79E-02  2.71E-02                              
