697    18       17     8.0885889e-03 0.1597329
  0.94687E+03 0.50605E+01 0.42339E-01 0.90991E+02 0.14620E+02 0.15779E+01
  0.94749E+03 0.50779E+01 0.43655E-01 0.92665E+02 0.14898E+02 0.16217E+01
  0.94812E+03 0.60747E+01 0.46106E-01 0.94514E+02 0.15188E+02 0.16885E+01
  0.94875E+03 0.59684E+01 0.49455E-01 0.96614E+02 0.15504E+02 0.17921E+01
  0.94938E+03 0.72839E+01 0.53575E-01 0.98791E+02 0.15857E+02 0.19119E+01
  0.95001E+03 0.86994E+01 0.57074E-01 0.10108E+03 0.16238E+02 0.20183E+01
  0.95065E+03 0.94957E+01 0.57488E-01 0.10459E+03 0.16598E+02 0.20443E+01
  0.95128E+03 0.80186E+01 0.54182E-01 0.10521E+03 0.16941E+02 0.19940E+01
  0.95191E+03 0.74658E+01 0.48302E-01 0.10763E+03 0.17276E+02 0.18709E+01
  0.95255E+03 0.60187E+01 0.39704E-01 0.11010E+03 0.17618E+02 0.16806E+01
  0.95318E+03 0.29186E+01 0.29617E-01 0.11141E+03 0.17995E+02 0.14708E+01
  0.95382E+03 0.14188E+01 0.21039E-01 0.11435E+03 0.18391E+02 0.12932E+01
  0.95446E+03 0.12598E+01 0.14346E-01 0.11670E+03 0.18820E+02 0.11531E+01
  0.95510E+03 0.00000E+00 0.95474E-02 0.12030E+03 0.19273E+02 0.10760E+01
  0.95573E+03 0.00000E+00 0.72850E-02 0.12356E+03 0.19737E+02 0.10448E+01
  0.95637E+03 0.00000E+00 0.64474E-02 0.12632E+03 0.20169E+02 0.10462E+01
  0.95702E+03 0.00000E+00 0.63262E-02 0.12913E+03 0.20544E+02 0.10569E+01
  0.95766E+03 0.00000E+00 0.68650E-02 0.12957E+03 0.20924E+02 0.10766E+01
  0.95830E+03 0.00000E+00 0.90200E-02 0.13250E+03 0.21325E+02 0.11399E+01
  0.95894E+03 0.00000E+00 0.13546E-01 0.13509E+03 0.21763E+02 0.12507E+01
  0.95959E+03 0.71220E+00 0.20585E-01 0.13669E+03 0.22274E+02 0.14351E+01
  0.96023E+03 0.27440E+01 0.30582E-01 0.14138E+03 0.22888E+02 0.16886E+01
  0.96088E+03 0.51323E+01 0.41740E-01 0.14649E+03 0.23618E+02 0.19697E+01
  0.96152E+03 0.65560E+01 0.52109E-01 0.15204E+03 0.24413E+02 0.22385E+01
  0.96217E+03 0.79620E+01 0.61380E-01 0.15769E+03 0.25210E+02 0.24779E+01
  0.96282E+03 0.10114E+02 0.68814E-01 0.16367E+03 0.25923E+02 0.26560E+01
  0.96347E+03 0.88821E+01 0.75002E-01 0.16662E+03 0.26517E+02 0.28279E+01
  0.96412E+03 0.11243E+02 0.82254E-01 0.16813E+03 0.27025E+02 0.30012E+01
  0.96477E+03 0.11695E+02 0.90198E-01 0.17006E+03 0.27550E+02 0.32039E+01
  0.96542E+03 0.11868E+02 0.98800E-01 0.17295E+03 0.28204E+02 0.34505E+01
