        697    18       17     1.5967e-03 6.31369e-03
  0.10821E+04 0.14298E-04 0.00000E+00 0.65502E+01 0.43539E-01 0.10516E-01
  0.10829E+04 0.16555E-04 0.00000E+00 0.65693E+01 0.43963E-01 0.10589E-01
  0.10837E+04 0.19327E-04 0.00000E+00 0.66023E+01 0.44460E-01 0.10682E-01
  0.10846E+04 0.22606E-04 0.70920E-07 0.66603E+01 0.45059E-01 0.10806E-01
  0.10854E+04 0.26354E-04 0.82701E-07 0.67530E+01 0.45779E-01 0.10972E-01
  0.10862E+04 0.30525E-04 0.96085E-07 0.68863E+01 0.46628E-01 0.11186E-01
  0.10870E+04 0.35083E-04 0.11130E-06 0.70629E+01 0.47599E-01 0.11446E-01
  0.10879E+04 0.40030E-04 0.12859E-06 0.72761E+01 0.48662E-01 0.11747E-01
  0.10887E+04 0.45421E-04 0.14824E-06 0.75150E+01 0.49778E-01 0.12074E-01
  0.10895E+04 0.51375E-04 0.17055E-06 0.77619E+01 0.50889E-01 0.12407E-01
  0.10903E+04 0.58078E-04 0.19591E-06 0.79954E+01 0.51939E-01 0.12723E-01
  0.10912E+04 0.65767E-04 0.22473E-06 0.81923E+01 0.52873E-01 0.12999E-01
  0.10920E+04 0.74710E-04 0.25747E-06 0.83344E+01 0.53651E-01 0.13215E-01
  0.10928E+04 0.85198E-04 0.29466E-06 0.84081E+01 0.54262E-01 0.13360E-01
  0.10937E+04 0.97479E-04 0.33692E-06 0.84122E+01 0.54722E-01 0.13435E-01
  0.10945E+04 0.11181E-03 0.38493E-06 0.83560E+01 0.55083E-01 0.13452E-01
  0.10954E+04 0.12840E-03 0.43946E-06 0.82627E+01 0.55428E-01 0.13438E-01
  0.10962E+04 0.14744E-03 0.50142E-06 0.81591E+01 0.55868E-01 0.13430E-01
  0.10970E+04 0.16910E-03 0.57179E-06 0.80915E+01 0.56523E-01 0.13473E-01
  0.10979E+04 0.19365E-03 0.65173E-06 0.81043E+01 0.57506E-01 0.13616E-01
  0.10987E+04 0.22135E-03 0.74250E-06 0.82315E+01 0.58908E-01 0.13896E-01
